<<<<<<< HEAD
V1,V2
The Girl with the Dragon Tattoo,Joely Richardson
The Girl with the Dragon Tattoo,Geraldine James
The Girl with the Dragon Tattoo,Goran Visnjic
Horrible Bosses,Jason Bateman
Horrible Bosses,Steve Wiebe
Horrible Bosses,Kevin Spacey
Horrible Bosses,Charlie Day
Horrible Bosses,Lindsay Sloane
Horrible Bosses,Michael Albala
Horrible Bosses,Jennifer Aniston
Horrible Bosses,Jason Sudeikis
Horrible Bosses,Jennifer Hasty
Horrible Bosses,Reginald Ballard
The Intouchables,François Cluzet
The Intouchables,Omar Sy
The Intouchables,Anne Le Ny
The Intouchables,Audrey Fleurot
The Intouchables,Joséphine de Meaux
The Intouchables,Clotilde Mollet
The Intouchables,Alba Gaïa Kraghede Bellugi
The Intouchables,Cyril Mendy
The Intouchables,Salimata Kamate
The Intouchables,Absa Diatou Toure
Thor,Chris Hemsworth
Thor,Natalie Portman
Thor,Tom Hiddleston
Thor,Anthony Hopkins
Thor,Stellan Skarsgård
Thor,Kat Dennings
Thor,Clark Gregg
Thor,Colm Feore
Thor,Idris Elba
Thor,Ray Stevenson
X-Men: First Class,James McAvoy
X-Men: First Class,Laurence Belcher
X-Men: First Class,Michael Fassbender
X-Men: First Class,Bill Milner
X-Men: First Class,Kevin Bacon
X-Men: First Class,Rose Byrne
X-Men: First Class,Jennifer Lawrence
X-Men: First Class,Beth Goddard
X-Men: First Class,Morgan Lily
X-Men: First Class,Oliver Platt
Rise of the Planet of the Apes,Andy Serkis
Rise of the Planet of the Apes,Karin Konoval
Rise of the Planet of the Apes,Terry Notary
Rise of the Planet of the Apes,Richard Ridings
Rise of the Planet of the Apes,Christopher Gordon
Rise of the Planet of the Apes,Devyn Dalton
Rise of the Planet of the Apes,Jay Caputo
Rise of the Planet of the Apes,James Franco
Rise of the Planet of the Apes,Freida Pinto
Rise of the Planet of the Apes,John Lithgow
A Christmas Carol,Jim Carrey
A Christmas Carol,Steve Valentine
A Christmas Carol,Daryl Sabara
A Christmas Carol,Sage Ryan
A Christmas Carol,Amber Gainey Meade
A Christmas Carol,Ryan Ochoa
A Christmas Carol,Bobbi Page
A Christmas Carol,Ron Bottitta
A Christmas Carol,Sammi Hanratty
A Christmas Carol,Julian Holloway
Night at the Museum: Battle of the Smithsonian,Ben Stiller
Night at the Museum: Battle of the Smithsonian,Amy Adams
Night at the Museum: Battle of the Smithsonian,Owen Wilson
Night at the Museum: Battle of the Smithsonian,Hank Azaria
Night at the Museum: Battle of the Smithsonian,Robin Williams
Night at the Museum: Battle of the Smithsonian,Christopher Guest
Night at the Museum: Battle of the Smithsonian,Alain Chabat
Night at the Museum: Battle of the Smithsonian,Steve Coogan
Night at the Museum: Battle of the Smithsonian,Ricky Gervais
Night at the Museum: Battle of the Smithsonian,Bill Hader
Inglourious Basterds,Brad Pitt
Inglourious Basterds,Mélanie Laurent
Inglourious Basterds,Christoph Waltz
Inglourious Basterds,Eli Roth
Inglourious Basterds,Michael Fassbender
Inglourious Basterds,Diane Kruger
Inglourious Basterds,Daniel Brühl
Inglourious Basterds,Til Schweiger
Inglourious Basterds,Gedeon Burkhard
Inglourious Basterds,Jacky Ido
Avatar,Sam Worthington
Avatar,Zoe Saldana
Avatar,Sigourney Weaver
Avatar,Stephen Lang
Avatar,Michelle Rodriguez
Avatar,Giovanni Ribisi
Avatar,Joel David Moore
Avatar,CCH Pounder
Avatar,Wes Studi
Avatar,Laz Alonso
Harry Potter and the Half-Blood Prince,Daniel Radcliffe
Harry Potter and the Half-Blood Prince,Michael Gambon
Harry Potter and the Half-Blood Prince,Dave Legeno
Harry Potter and the Half-Blood Prince,Elarica Gallacher
Harry Potter and the Half-Blood Prince,Jim Broadbent
Harry Potter and the Half-Blood Prince,Geraldine Somerville
Harry Potter and the Half-Blood Prince,Bonnie Wright
Harry Potter and the Half-Blood Prince,Julie Walters
Harry Potter and the Half-Blood Prince,Rupert Grint
Harry Potter and the Half-Blood Prince,Emma Watson
Star Trek,Chris Pine
Star Trek,Zachary Quinto
Star Trek,Leonard Nimoy
Star Trek,Eric Bana
Star Trek,Bruce Greenwood
Star Trek,Karl Urban
Star Trek,Zoe Saldana
Star Trek,Simon Pegg
Star Trek,John Cho
Star Trek,Anton Yelchin
The Hangover,Bradley Cooper
The Hangover,Ed Helms
The Hangover,Zach Galifianakis
The Hangover,Justin Bartha
The Hangover,Heather Graham
The Hangover,Sasha Barrese
The Hangover,Jeffrey Tambor
The Hangover,Ken Jeong
The Hangover,Rachael Harris
The Hangover,Mike Tyson
Nativity!,Martin Freeman
Nativity!,Marc Wootton
Nativity!,Jason Watkins
Nativity!,Ashley Jensen
Nativity!,Pam Ferris
Nativity!,Alan Carr
Nativity!,Ricky Tomlinson
Nativity!,Rosie Cavaliero
Nativity!,John Sessions
Nativity!,Phyllis Logan
3 Idiots,Aamir Khan
3 Idiots,Madhavan
3 Idiots,Sharman Joshi
3 Idiots,Kareena Kapoor
3 Idiots,Boman Irani
3 Idiots,Omi Vaidya
3 Idiots,Mona Singh
3 Idiots,Javed Jaffrey
3 Idiots,Parikshat Sahni
3 Idiots,Sanjay Lafont
Watchmen,Malin Akerman
Watchmen,Billy Crudup
Watchmen,Matthew Goode
Watchmen,Jackie Earle Haley
Watchmen,Jeffrey Dean Morgan
Watchmen,Patrick Wilson
Watchmen,Carla Gugino
Watchmen,Matt Frewer
Watchmen,Stephen McHattie
Watchmen,Laura Mennell
The Dark Knight,Christian Bale
The Dark Knight,Heath Ledger
The Dark Knight,Aaron Eckhart
The Dark Knight,Michael Caine
The Dark Knight,Maggie Gyllenhaal
The Dark Knight,Gary Oldman
The Dark Knight,Morgan Freeman
The Dark Knight,Monique Gabriela Curnen
The Dark Knight,Ron Dean
The Dark Knight,Cillian Murphy
Four Christmases,Vince Vaughn
Four Christmases,Reese Witherspoon
Four Christmases,Robert Duvall
Four Christmases,Sissy Spacek
Four Christmases,Jon Voight
Four Christmases,Jon Favreau
Four Christmases,Mary Steenburgen
Four Christmases,Dwight Yoakam
Four Christmases,Tim McGraw
Four Christmases,Kristin Chenoweth
Iron Man,Robert Downey Jr.
Iron Man,Terrence Howard
Iron Man,Jeff Bridges
Iron Man,Gwyneth Paltrow
Iron Man,Leslie Bibb
Iron Man,Shaun Toub
Iron Man,Faran Tahir
Iron Man,Clark Gregg
Iron Man,Bill Smitrovich
Iron Man,Sayed Badreya
Twilight,Kristen Stewart
Twilight,Sarah Clarke
Twilight,Matt Bushell
Twilight,Billy Burke
Twilight,Gil Birmingham
Twilight,Taylor Lautner
Twilight,Gregory Tyree Boyce
Twilight,Justin Chon
Twilight,Michael Welch
Twilight,Anna Kendrick
Gran Torino,Clint Eastwood
Gran Torino,Christopher Carley
Gran Torino,Bee Vang
Gran Torino,Ahney Her
Gran Torino,Brian Haley
Gran Torino,Geraldine Hughes
Gran Torino,Dreama Walker
Gran Torino,Brian Howe
Gran Torino,John Carroll Lynch
Gran Torino,William Hill
Pineapple Express,Seth Rogen
Pineapple Express,James Franco
Pineapple Express,Danny McBride
Pineapple Express,Kevin Corrigan
Pineapple Express,Craig Robinson
Pineapple Express,Gary Cole
Pineapple Express,Rosie Perez
Pineapple Express,Ed Begley Jr.
Pineapple Express,Nora Dunn
Pineapple Express,Amber Heard
Taken,Liam Neeson
Taken,Maggie Grace
Taken,Jon Gries
Taken,David Warshofsky
Taken,Holly Valance
Taken,Katie Cassidy
Taken,Xander Berkeley
Taken,Olivier Rabourdin
Taken,Gérard Watkins
Taken,Famke Janssen
The Chronicles of Narnia: Prince Caspian,Ben Barnes
The Chronicles of Narnia: Prince Caspian,Georgie Henley
The Chronicles of Narnia: Prince Caspian,Skandar Keynes
The Chronicles of Narnia: Prince Caspian,William Moseley
The Chronicles of Narnia: Prince Caspian,Anna Popplewell
The Chronicles of Narnia: Prince Caspian,Sergio Castellitto
The Chronicles of Narnia: Prince Caspian,Peter Dinklage
The Chronicles of Narnia: Prince Caspian,Warwick Davis
The Chronicles of Narnia: Prince Caspian,Vincent Grass
The Chronicles of Narnia: Prince Caspian,Pierfrancesco Favino
The Curious Case of Benjamin Button,Cate Blanchett
The Curious Case of Benjamin Button,Brad Pitt
The Curious Case of Benjamin Button,Julia Ormond
The Curious Case of Benjamin Button,Faune A. Chambers
The Curious Case of Benjamin Button,Elias Koteas
The Curious Case of Benjamin Button,Donna Duplantier
The Curious Case of Benjamin Button,Jacob Tolano
The Curious Case of Benjamin Button,Earl Maddox
The Curious Case of Benjamin Button,Ed Metzger
The Curious Case of Benjamin Button,Jason Flemyng
The House Bunny,Anna Faris
The House Bunny,Colin Hanks
The House Bunny,Emma Stone
The House Bunny,Kat Dennings
The House Bunny,Hugh M. Hefner
The House Bunny,Christopher McDonald
The House Bunny,Beverly D'Angelo
The House Bunny,Katharine McPhee
The House Bunny,Rumer Willis
The House Bunny,Kiely Williams
Fred Claus,Vince Vaughn
Fred Claus,Paul Giamatti
Fred Claus,John Michael Higgins
Fred Claus,Miranda Richardson
Fred Claus,Rachel Weisz
Fred Claus,Kathy Bates
Fred Claus,Trevor Peacock
Fred Claus,Ludacris
Fred Claus,Elizabeth Banks
Fred Claus,Jeremy Swift
Bridge to Terabithia,Josh Hutcherson
Bridge to Terabithia,AnnaSophia Robb
Bridge to Terabithia,Zooey Deschanel
Bridge to Terabithia,Robert Patrick
Bridge to Terabithia,Bailee Madison
Bridge to Terabithia,Kate Butler
Bridge to Terabithia,Devon Wood
Bridge to Terabithia,Emma Fenton
Bridge to Terabithia,Grace Brannigan
Bridge to Terabithia,Latham Gaines
Superbad,Jonah Hill
Superbad,Michael Cera
Superbad,Christopher Mintz-Plasse
Superbad,Bill Hader
Superbad,Seth Rogen
Superbad,Martha MacIsaac
Superbad,Emma Stone
Superbad,Aviva Baumann
Superbad,Joe Lo Truglio
Superbad,Kevin Corrigan
Transformers,Shia LaBeouf
Transformers,Megan Fox
Transformers,Josh Duhamel
Transformers,Tyrese Gibson
Transformers,Rachael Taylor
Transformers,Anthony Anderson
Transformers,Jon Voight
Transformers,John Turturro
Transformers,Michael O'Neill
Transformers,Kevin Dunn
Harry Potter and the Order of the Phoenix,Daniel Radcliffe
Harry Potter and the Order of the Phoenix,Harry Melling
Harry Potter and the Order of the Phoenix,Jason Boyd
Harry Potter and the Order of the Phoenix,Richard Macklin
Harry Potter and the Order of the Phoenix,Kathryn Hunter
Harry Potter and the Order of the Phoenix,Miles Jupp
Harry Potter and the Order of the Phoenix,Fiona Shaw
Harry Potter and the Order of the Phoenix,Richard Griffiths
Harry Potter and the Order of the Phoenix,Jessica Hynes
Harry Potter and the Order of the Phoenix,Adrian Rawlins
Into the Wild,Emile Hirsch
Into the Wild,Marcia Gay Harden
Into the Wild,William Hurt
Into the Wild,Jena Malone
Into the Wild,Brian H. Dierker
Into the Wild,Catherine Keener
Into the Wild,Vince Vaughn
Into the Wild,Kristen Stewart
Into the Wild,Hal Holbrook
Into the Wild,Jim Gallien
Stardust,Ian McKellen
Stardust,Bimbo Hart
Stardust,Alastair MacIntosh
Stardust,David Kelly
Stardust,Ben Barnes
Stardust,Kate Magowan
