source,target,relationship
"Carter, Master. William Thornton II","Carter, Miss. Lucile Polk",shared_ticket_and_cabin
"Carter, Master. William Thornton II","Carter, Mr. William Ernest",shared_ticket_and_cabin
"Carter, Master. William Thornton II","Carter, Mrs. William Ernest (Lucile Polk)",shared_ticket_and_cabin
"Carter, Miss. Lucile Polk","Carter, Mr. William Ernest",shared_ticket_and_cabin
"Carter, Miss. Lucile Polk","Carter, Mrs. William Ernest (Lucile Polk)",shared_ticket_and_cabin
"Carter, Mr. William Ernest","Carter, Mrs. William Ernest (Lucile Polk)",shared_ticket_and_cabin
"Marvin, Mr. Daniel Warner","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",shared_ticket_and_cabin
"Pears, Mr. Thomas Clinton","Pears, Mrs. Thomas (Edith Wearne)",shared_ticket_and_cabin
"Allison, Master. Hudson Trevor","Allison, Miss. Helen Loraine",shared_ticket_and_cabin
"Allison, Master. Hudson Trevor","Allison, Mr. Hudson Joshua Creighton",shared_ticket_and_cabin
"Allison, Master. Hudson Trevor","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",shared_ticket_and_cabin
"Allison, Master. Hudson Trevor","Cleaver, Miss. Alice",shared_ticket
"Allison, Master. Hudson Trevor","Daniels, Miss. Sarah",shared_ticket
"Allison, Miss. Helen Loraine","Allison, Mr. Hudson Joshua Creighton",shared_ticket_and_cabin
"Allison, Miss. Helen Loraine","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",shared_ticket_and_cabin
"Allison, Miss. Helen Loraine","Cleaver, Miss. Alice",shared_ticket
"Allison, Miss. Helen Loraine","Daniels, Miss. Sarah",shared_ticket
"Allison, Mr. Hudson Joshua Creighton","Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",shared_ticket_and_cabin
"Allison, Mr. Hudson Joshua Creighton","Cleaver, Miss. Alice",shared_ticket
"Allison, Mr. Hudson Joshua Creighton","Daniels, Miss. Sarah",shared_ticket
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)","Cleaver, Miss. Alice",shared_ticket
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)","Daniels, Miss. Sarah",shared_ticket
"Cleaver, Miss. Alice","Daniels, Miss. Sarah",shared_ticket
"Holverson, Mr. Alexander Oskar","Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",shared_ticket
"Harrington, Mr. Charles H","Moore, Mr. Clarence Bloomfield",shared_ticket
"Cairns, Mr. Alexander","Serepeca, Miss. Augusta",shared_ticket
"Futrelle, Mr. Jacques Heath","Futrelle, Mrs. Jacques Heath (Lily May Peel)",shared_ticket_and_cabin
"Chambers, Mr. Norman Campbell","Chambers, Mrs. Norman Campbell (Bertha Griggs)",shared_ticket_and_cabin
"Turpin, Mr. William John Robert","Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",shared_ticket
"Beckwith, Mr. Richard Leonard","Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",shared_ticket_and_cabin
"Kimball, Mr. Edwin Nelson Jr","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",shared_ticket_and_cabin
"Harder, Mr. George Achilles","Harder, Mrs. George Achilles (Dorothy Annan)",shared_ticket_and_cabin
"Earnshaw, Mrs. Boulton (Olive Potter)","Hays, Miss. Margaret Bechstein",shared_ticket_and_cabin
"Earnshaw, Mrs. Boulton (Olive Potter)","Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",shared_ticket
"Hays, Miss. Margaret Bechstein","Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",shared_ticket
"Appleton, Mrs. Edward Dale (Charlotte Lamson)","Brown, Mrs. John Murray (Caroline Lane Lamson)",shared_ticket_and_cabin
"Appleton, Mrs. Edward Dale (Charlotte Lamson)","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",shared_cabin
"Brown, Mrs. John Murray (Caroline Lane Lamson)","Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",shared_cabin
"Stengel, Mr. Charles Emil Henry","Stengel, Mrs. Charles Emil Henry (Annie May Morris)",shared_ticket_and_cabin
"Bazzani, Miss. Albina","Bucknell, Mrs. William Robert (Emma Eliza Ward)",shared_ticket_and_cabin
"Bishop, Mr. Dickinson H","Bishop, Mrs. Dickinson H (Helen Walton)",shared_ticket_and_cabin
"Hays, Mr. Charles Melville","Hays, Mrs. Charles Melville (Clara Jennings Gregg)",shared_ticket_and_cabin
"Hays, Mr. Charles Melville","Payne, Mr. Vivian Ponsonby",shared_ticket
"Hays, Mr. Charles Melville","Perreault, Miss. Anne",shared_ticket
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","Payne, Mr. Vivian Ponsonby",shared_ticket
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)","Perreault, Miss. Anne",shared_ticket
"Payne, Mr. Vivian Ponsonby","Perreault, Miss. Anne",shared_ticket
"Beattie, Mr. Thomson","McCaffry, Mr. Thomas Francis",shared_ticket_and_cabin
"Mock, Mr. Philipp Edmund","Schabert, Mrs. Paul (Emma Mock)",shared_ticket
"Mock, Mr. Philipp Edmund","Minahan, Dr. William Edward",shared_cabin
"Mock, Mr. Philipp Edmund","Minahan, Miss. Daisy E",shared_cabin
"Mock, Mr. Philipp Edmund","Minahan, Mrs. William Edward (Lillian E Thorpe)",shared_cabin
"Andrews, Miss. Kornelia Theodosia","Hogeboom, Mrs. John C (Anna Andrews)",shared_ticket
"Andrews, Miss. Kornelia Theodosia","Longley, Miss. Gretchen Fiske",shared_ticket
"Hogeboom, Mrs. John C (Anna Andrews)","Longley, Miss. Gretchen Fiske",shared_ticket
"Silvey, Mr. William Baird","Silvey, Mrs. William Baird (Alice Munger)",shared_ticket_and_cabin
"Clark, Mr. Walter Miller","Clark, Mrs. Walter Miller (Virginia McDowell)",shared_ticket_and_cabin
"Frolicher-Stehli, Mr. Maxmillian","Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",shared_ticket_and_cabin
"Smith, Mr. Lucien Philip","Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",shared_ticket_and_cabin
"Bing, Mr. Lee","Chip, Mr. Chang",shared_ticket
"Bing, Mr. Lee","Foo, Mr. Choong",shared_ticket
"Bing, Mr. Lee","Hee, Mr. Ling",shared_ticket
"Bing, Mr. Lee","Lam, Mr. Ali",shared_ticket
"Bing, Mr. Lee","Lam, Mr. Len",shared_ticket
"Bing, Mr. Lee","Lang, Mr. Fang",shared_ticket
"Bing, Mr. Lee","Ling, Mr. Lee",shared_ticket
"Chip, Mr. Chang","Foo, Mr. Choong",shared_ticket
"Chip, Mr. Chang","Hee, Mr. Ling",shared_ticket
"Chip, Mr. Chang","Lam, Mr. Ali",shared_ticket
"Chip, Mr. Chang","Lam, Mr. Len",shared_ticket
"Chip, Mr. Chang","Lang, Mr. Fang",shared_ticket
"Chip, Mr. Chang","Ling, Mr. Lee",shared_ticket
"Foo, Mr. Choong","Hee, Mr. Ling",shared_ticket
"Foo, Mr. Choong","Lam, Mr. Ali",shared_ticket
"Foo, Mr. Choong","Lam, Mr. Len",shared_ticket
"Foo, Mr. Choong","Lang, Mr. Fang",shared_ticket
"Foo, Mr. Choong","Ling, Mr. Lee",shared_ticket
"Hee, Mr. Ling","Lam, Mr. Ali",shared_ticket
"Hee, Mr. Ling","Lam, Mr. Len",shared_ticket
"Hee, Mr. Ling","Lang, Mr. Fang",shared_ticket
"Hee, Mr. Ling","Ling, Mr. Lee",shared_ticket
"Lam, Mr. Ali","Lam, Mr. Len",shared_ticket
"Lam, Mr. Ali","Lang, Mr. Fang",shared_ticket
"Lam, Mr. Ali","Ling, Mr. Lee",shared_ticket
"Lam, Mr. Len","Lang, Mr. Fang",shared_ticket
"Lam, Mr. Len","Ling, Mr. Lee",shared_ticket
"Lang, Mr. Fang","Ling, Mr. Lee",shared_ticket
"Burns, Miss. Elizabeth Margaret","Spedden, Master. Robert Douglas",shared_ticket
"Burns, Miss. Elizabeth Margaret","Spedden, Mr. Frederic Oakley",shared_ticket
"Burns, Miss. Elizabeth Margaret","Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",shared_ticket
"Burns, Miss. Elizabeth Margaret","Wilson, Miss. Helen Alice",shared_ticket
"Spedden, Master. Robert Douglas","Spedden, Mr. Frederic Oakley",shared_ticket_and_cabin
"Spedden, Master. Robert Douglas","Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",shared_ticket_and_cabin
"Spedden, Master. Robert Douglas","Wilson, Miss. Helen Alice",shared_ticket
"Spedden, Mr. Frederic Oakley","Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",shared_ticket_and_cabin
"Spedden, Mr. Frederic Oakley","Wilson, Miss. Helen Alice",shared_ticket
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)","Wilson, Miss. Helen Alice",shared_ticket
"Fleming, Miss. Margaret","Thayer, Mr. John Borland",shared_ticket
"Fleming, Miss. Margaret","Thayer, Mr. John Borland Jr",shared_ticket
"Fleming, Miss. Margaret","Thayer, Mrs. John Borland (Marian Longstreth Morris)",shared_ticket
"Thayer, Mr. John Borland","Thayer, Mr. John Borland Jr",shared_ticket
"Thayer, Mr. John Borland","Thayer, Mrs. John Borland (Marian Longstreth Morris)",shared_ticket_and_cabin
"Thayer, Mr. John Borland Jr","Thayer, Mrs. John Borland (Marian Longstreth Morris)",shared_ticket
"Goldenberg, Mr. Samuel L","Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",shared_ticket_and_cabin
"Hilliard, Mr. Herbert Henry","McCarthy, Mr. Timothy J",shared_ticket_and_cabin
"Hilliard, Mr. Herbert Henry","Mardirosian, Mr. Sarkis",shared_cabin
"McCarthy, Mr. Timothy J","Mardirosian, Mr. Sarkis",shared_cabin
"Kenyon, Mr. Frederick R","Kenyon, Mrs. Frederick R (Marion)",shared_ticket_and_cabin
"Dick, Mr. Albert Adrian","Dick, Mrs. Albert Adrian (Vera Gillespie)",shared_ticket_and_cabin
"Barber, Miss. Ellen ""Nellie""","Cavendish, Mr. Tyrell William",shared_ticket
"Barber, Miss. Ellen ""Nellie""","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",shared_ticket
"Cavendish, Mr. Tyrell William","Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",shared_ticket_and_cabin
"Minahan, Dr. William Edward","Minahan, Miss. Daisy E",shared_ticket_and_cabin
"Minahan, Dr. William Edward","Minahan, Mrs. William Edward (Lillian E Thorpe)",shared_ticket_and_cabin
"Minahan, Miss. Daisy E","Minahan, Mrs. William Edward (Lillian E Thorpe)",shared_ticket_and_cabin
"Hoyt, Mr. Frederick Maxfield","Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",shared_ticket_and_cabin
"Fortune, Miss. Alice Elizabeth","Fortune, Miss. Ethel Flora",shared_ticket_and_cabin
"Fortune, Miss. Alice Elizabeth","Fortune, Miss. Mabel Helen",shared_ticket_and_cabin
"Fortune, Miss. Alice Elizabeth","Fortune, Mr. Charles Alexander",shared_ticket_and_cabin
"Fortune, Miss. Alice Elizabeth","Fortune, Mr. Mark",shared_ticket_and_cabin
"Fortune, Miss. Alice Elizabeth","Fortune, Mrs. Mark (Mary McDougald)",shared_ticket_and_cabin
"Fortune, Miss. Ethel Flora","Fortune, Miss. Mabel Helen",shared_ticket_and_cabin
"Fortune, Miss. Ethel Flora","Fortune, Mr. Charles Alexander",shared_ticket_and_cabin
"Fortune, Miss. Ethel Flora","Fortune, Mr. Mark",shared_ticket_and_cabin
"Fortune, Miss. Ethel Flora","Fortune, Mrs. Mark (Mary McDougald)",shared_ticket_and_cabin
"Fortune, Miss. Mabel Helen","Fortune, Mr. Charles Alexander",shared_ticket_and_cabin
"Fortune, Miss. Mabel Helen","Fortune, Mr. Mark",shared_ticket_and_cabin
"Fortune, Miss. Mabel Helen","Fortune, Mrs. Mark (Mary McDougald)",shared_ticket_and_cabin
"Fortune, Mr. Charles Alexander","Fortune, Mr. Mark",shared_ticket_and_cabin
"Fortune, Mr. Charles Alexander","Fortune, Mrs. Mark (Mary McDougald)",shared_ticket_and_cabin
"Fortune, Mr. Mark","Fortune, Mrs. Mark (Mary McDougald)",shared_ticket_and_cabin
"Taylor, Mr. Elmer Zebley","Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",shared_ticket_and_cabin
"Clarke, Mr. Charles Valentine","Clarke, Mrs. Charles V (Ada Maria Winfield)",shared_ticket
"Snyder, Mr. John Pillsbury","Snyder, Mrs. John Pillsbury (Nelle Stevenson)",shared_ticket_and_cabin
"Herman, Miss. Alice","Herman, Miss. Kate",shared_ticket
"Herman, Miss. Alice","Herman, Mr. Samuel",shared_ticket
"Herman, Miss. Alice","Herman, Mrs. Samuel (Jane Laver)",shared_ticket
"Herman, Miss. Alice","Sweet, Mr. George Frederick",shared_ticket
"Herman, Miss. Kate","Herman, Mr. Samuel",shared_ticket
"Herman, Miss. Kate","Herman, Mrs. Samuel (Jane Laver)",shared_ticket
"Herman, Miss. Kate","Sweet, Mr. George Frederick",shared_ticket
"Herman, Mr. Samuel","Herman, Mrs. Samuel (Jane Laver)",shared_ticket
"Herman, Mr. Samuel","Sweet, Mr. George Frederick",shared_ticket
"Herman, Mrs. Samuel (Jane Laver)","Sweet, Mr. George Frederick",shared_ticket
"Angle, Mr. William A","Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",shared_ticket
"Weisz, Mr. Leopold","Weisz, Mrs. Leopold (Mathilde Francoise Pede)",shared_ticket
"Navratil, Master. Edmond Roger","Navratil, Master. Michel M",shared_ticket_and_cabin
"Navratil, Master. Edmond Roger","Navratil, Mr. Michel (""Louis M Hoffman"")",shared_ticket_and_cabin
"Navratil, Master. Edmond Roger","Nesson, Mr. Israel",shared_cabin
"Navratil, Master. Michel M","Navratil, Mr. Michel (""Louis M Hoffman"")",shared_ticket_and_cabin
"Navratil, Master. Michel M","Nesson, Mr. Israel",shared_cabin
"Navratil, Mr. Michel (""Louis M Hoffman"")","Nesson, Mr. Israel",shared_cabin
"Becker, Master. Richard F","Becker, Miss. Marion Louise",shared_ticket_and_cabin
"Becker, Master. Richard F","Becker, Miss. Ruth Elizabeth",shared_ticket_and_cabin
"Becker, Master. Richard F","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",shared_ticket_and_cabin
"Becker, Miss. Marion Louise","Becker, Miss. Ruth Elizabeth",shared_ticket_and_cabin
"Becker, Miss. Marion Louise","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",shared_ticket_and_cabin
"Becker, Miss. Ruth Elizabeth","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",shared_ticket_and_cabin
"Parrish, Mrs. (Lutie Davis)","Shelley, Mrs. William (Imanita Parrish Hall)",shared_ticket
"Doling, Miss. Elsie","Doling, Mrs. John T (Ada Julia Bone)",shared_ticket
"Bryhl, Miss. Dagmar Jenny Ingeborg ","Bryhl, Mr. Kurt Arnold Gottfrid",shared_ticket
"Nasser, Mr. Nicholas","Nasser, Mrs. Nicholas (Adele Achem)",shared_ticket
"Christy, Miss. Julie Rachel","Christy, Mrs. (Alice Frances)",shared_ticket
"Campbell, Mr. William","Cunningham, Mr. Alfred Fleming",shared_ticket
"Campbell, Mr. William","Parkes, Mr. Francis ""Frank""",shared_ticket
"Cunningham, Mr. Alfred Fleming","Parkes, Mr. Francis ""Frank""",shared_ticket
"Fynney, Mr. Joseph J","Gaskell, Mr. Alfred",shared_ticket
"Howard, Mr. Benjamin","Howard, Mrs. Benjamin (Ellen Truelove Arman)",shared_ticket
"Allen, Miss. Elisabeth Walton","Kreuchen, Miss. Emilie",shared_ticket
"Allen, Miss. Elisabeth Walton","Madill, Miss. Georgette Alexandra",shared_ticket_and_cabin
"Allen, Miss. Elisabeth Walton","Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",shared_ticket
"Kreuchen, Miss. Emilie","Madill, Miss. Georgette Alexandra",shared_ticket
"Kreuchen, Miss. Emilie","Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",shared_ticket
"Madill, Miss. Georgette Alexandra","Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",shared_ticket
"Jacobsohn, Mr. Sidney Samuel","Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",shared_ticket
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)","Carter, Rev. Ernest Courtenay",shared_ticket
"Beauchamp, Mr. Henry James","Sharp, Mr. Percival James R",shared_ticket
"Kantor, Mr. Sinai","Kantor, Mrs. Sinai (Miriam Sternin)",shared_ticket
"Harper, Miss. Annie Jessie ""Nina""","Harper, Rev. John",shared_ticket
"Harper, Miss. Annie Jessie ""Nina""","Leitch, Miss. Jessie Wills",shared_ticket
"Harper, Rev. John","Leitch, Miss. Jessie Wills",shared_ticket
"Caldwell, Master. Alden Gates","Caldwell, Mr. Albert Francis",shared_ticket
"Caldwell, Master. Alden Gates","Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",shared_ticket
"Caldwell, Mr. Albert Francis","Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",shared_ticket
"Mellinger, Miss. Madeleine Violet","Mellinger, Mrs. (Elizabeth Anne Maidment)",shared_ticket
"Greenberg, Mr. Samuel","Ponesell, Mr. Martin",shared_ticket
"Hamalainen, Master. Viljo","Hamalainen, Mrs. William (Anna)",shared_ticket
"Lahtinen, Mrs. William (Anna Sylfven)","Lahtinen, Rev. William",shared_ticket
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")","Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",shared_ticket
"Thomas, Master. Assad Alexander","Thomas, Mrs. Alexander (Thamine ""Thelma"")",shared_ticket
"Attalah, Miss. Malake","Yousseff, Mr. Gerious",shared_ticket
"Quick, Miss. Phyllis May","Quick, Miss. Winifred Vera",shared_ticket
"Quick, Miss. Phyllis May","Quick, Mrs. Frederick Charles (Jane Richards)",shared_ticket
"Quick, Miss. Winifred Vera","Quick, Mrs. Frederick Charles (Jane Richards)",shared_ticket
"Touma, Master. Georges Youssef","Touma, Miss. Maria Youssef",shared_ticket
"Touma, Master. Georges Youssef","Touma, Mrs. Darwis (Hanne Youssef Razi)",shared_ticket
"Touma, Miss. Maria Youssef","Touma, Mrs. Darwis (Hanne Youssef Razi)",shared_ticket
"Nicola-Yarred, Master. Elias","Nicola-Yarred, Miss. Jamila",shared_ticket
"Nakid, Miss. Maria (""Mary"")","Nakid, Mr. Sahid",shared_ticket
"Nakid, Miss. Maria (""Mary"")","Nakid, Mrs. Said (Waika ""Mary"" Mowad)",shared_ticket
"Nakid, Mr. Sahid","Nakid, Mrs. Said (Waika ""Mary"" Mowad)",shared_ticket
"Yasbeck, Mr. Antoni","Yasbeck, Mrs. Antoni (Selini Alexander)",shared_ticket
"Khalil, Mr. Betros","Khalil, Mrs. Betros (Zahie ""Maria"" Elias)",shared_ticket
"Moubarek, Master. Gerios","Moubarek, Master. Halim Gonios (""William George"")",shared_ticket
"Moubarek, Master. Gerios","Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",shared_ticket
"Moubarek, Master. Halim Gonios (""William George"")","Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",shared_ticket
"Samaan, Mr. Elias","Samaan, Mr. Hanna",shared_ticket
"Samaan, Mr. Elias","Samaan, Mr. Youssef",shared_ticket
"Samaan, Mr. Hanna","Samaan, Mr. Youssef",shared_ticket
"Zabour, Miss. Hileni","Zabour, Miss. Thamine",shared_ticket
"Baclini, Miss. Eugenie","Baclini, Miss. Helene Barbara",shared_ticket
"Baclini, Miss. Eugenie","Baclini, Miss. Marie Catherine",shared_ticket
"Baclini, Miss. Eugenie","Baclini, Mrs. Solomon (Latifa Qurban)",shared_ticket
"Baclini, Miss. Helene Barbara","Baclini, Miss. Marie Catherine",shared_ticket
"Baclini, Miss. Helene Barbara","Baclini, Mrs. Solomon (Latifa Qurban)",shared_ticket
"Baclini, Miss. Marie Catherine","Baclini, Mrs. Solomon (Latifa Qurban)",shared_ticket
"Peter, Master. Michael J","Peter, Miss. Anna",shared_ticket
"Peter, Master. Michael J","Peter, Mrs. Catherine (Catherine Rizk)",shared_ticket
"Peter, Miss. Anna","Peter, Mrs. Catherine (Catherine Rizk)",shared_ticket
"Peter, Miss. Anna","Swane, Mr. George",shared_cabin
"Peter, Miss. Anna","Abelseth, Mr. Olaus Jorgensen",shared_cabin
"Peter, Miss. Anna","Humblen, Mr. Adolf Mathias Nicolai Olsen",shared_cabin
"Peter, Miss. Anna","Krekorian, Mr. Neshan",shared_cabin
"Peter, Miss. Anna","Mardirosian, Mr. Sarkis",shared_cabin
"Peter, Miss. Anna","Moen, Mr. Sigurd Hansen",shared_cabin
"Peter, Miss. Anna","Soholt, Mr. Peter Andreas Lauritz Andersen",shared_cabin
"Hold, Mr. Stephen","Hold, Mrs. Stephen (Annie Margaret Hill)",shared_ticket
"Boulos, Master. Akar","Boulos, Miss. Nourelain",shared_ticket
"Boulos, Master. Akar","Boulos, Mrs. Joseph (Sultana)",shared_ticket
"Boulos, Miss. Nourelain","Boulos, Mrs. Joseph (Sultana)",shared_ticket
"Chronopoulos, Mr. Apostolos","Chronopoulos, Mr. Demetrios",shared_ticket
"Caram, Mr. Joseph","Caram, Mrs. Joseph (Maria Elias)",shared_ticket
"Barbara, Miss. Saiide","Barbara, Mrs. (Catherine David)",shared_ticket
"Albimona, Mr. Nassef Cassem","Hassan, Mr. Houssein G N",shared_ticket
"Drew, Master. Marshall Brines","Drew, Mr. James Vivian",shared_ticket
"Drew, Master. Marshall Brines","Drew, Mrs. James Vivian (Lulu Thorne Christian)",shared_ticket
"Drew, Mr. James Vivian","Drew, Mrs. James Vivian (Lulu Thorne Christian)",shared_ticket
"Downton, Mr. William James","McKane, Mr. Peter David",shared_ticket
"Gale, Mr. Harry","Gale, Mr. Shadrach",shared_ticket
"Beane, Mr. Edward","Beane, Mrs. Edward (Ethel Clarke)",shared_ticket
"Wells, Master. Ralph Lester","Wells, Miss. Joan",shared_ticket
"Wells, Master. Ralph Lester","Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",shared_ticket
"Wells, Miss. Joan","Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",shared_ticket
"Hocking, Miss. Ellen ""Nellie""","Hocking, Mrs. Elizabeth (Eliza Needs)",shared_ticket
"Richards, Master. George Sibley","Richards, Master. William Rowe",shared_ticket
"Richards, Master. George Sibley","Richards, Mrs. Sidney (Emily Hocking)",shared_ticket
"Richards, Master. William Rowe","Richards, Mrs. Sidney (Emily Hocking)",shared_ticket
"Faunthorpe, Mr. Harry","Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",shared_ticket
"Brown, Miss. Edith Eileen","Brown, Mr. Thomas William Solomon",shared_ticket
"Brown, Miss. Edith Eileen","Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",shared_ticket
"Brown, Mr. Thomas William Solomon","Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",shared_ticket
"Backstrom, Mr. Karl Alfred","Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",shared_ticket
"Panula, Master. Eino Viljami","Panula, Master. Juha Niilo",shared_ticket
"Panula, Master. Eino Viljami","Panula, Master. Urho Abraham",shared_ticket
"Panula, Master. Eino Viljami","Panula, Mr. Ernesti Arvid",shared_ticket
"Panula, Master. Eino Viljami","Panula, Mr. Jaako Arnold",shared_ticket
"Panula, Master. Eino Viljami","Panula, Mrs. Juha (Maria Emilia Ojala)",shared_ticket
"Panula, Master. Eino Viljami","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Panula, Master. Juha Niilo","Panula, Master. Urho Abraham",shared_ticket
"Panula, Master. Juha Niilo","Panula, Mr. Ernesti Arvid",shared_ticket
"Panula, Master. Juha Niilo","Panula, Mr. Jaako Arnold",shared_ticket
"Panula, Master. Juha Niilo","Panula, Mrs. Juha (Maria Emilia Ojala)",shared_ticket
"Panula, Master. Juha Niilo","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Panula, Master. Urho Abraham","Panula, Mr. Ernesti Arvid",shared_ticket
"Panula, Master. Urho Abraham","Panula, Mr. Jaako Arnold",shared_ticket
"Panula, Master. Urho Abraham","Panula, Mrs. Juha (Maria Emilia Ojala)",shared_ticket
"Panula, Master. Urho Abraham","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Panula, Mr. Ernesti Arvid","Panula, Mr. Jaako Arnold",shared_ticket
"Panula, Mr. Ernesti Arvid","Panula, Mrs. Juha (Maria Emilia Ojala)",shared_ticket
"Panula, Mr. Ernesti Arvid","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Panula, Mr. Jaako Arnold","Panula, Mrs. Juha (Maria Emilia Ojala)",shared_ticket
"Panula, Mr. Jaako Arnold","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Panula, Mrs. Juha (Maria Emilia Ojala)","Riihivouri, Miss. Susanna Juhantytar ""Sanni""",shared_ticket
"Hirvonen, Miss. Hildur E","Hirvonen, Mrs. Alexander (Helga E Lindqvist)",shared_ticket
"Renouf, Mr. Peter Henry","Renouf, Mrs. Peter Henry (Lillian Jefferys)",shared_ticket
